filename,bug_type,original_bug_type,locations,verified
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4442:None-4442:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4491:None-4491:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4507:None-4507:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4523:None-4523:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4530:None-4530:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4546:None-4546:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4600:None-4600:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4610:None-4610:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4645:None-4645:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4653:None-4653:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4668:None-4668:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4681:None-4681:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4689:None-4689:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
benchmarks/real-hacks/reentrancy/DFX/Curve.sol,Unsafe DelegateCall,None,Curve.sol:4756:None-4756:None,"n (curve contract is passed during initialization, requires on chain data to analyze)"
